Club; Tournoi; Date début; Date fin; JUGE-ARBITRE; SURFACE(S); PRIX EN ESPÈCE; PRIX EN LOTS; INSCRIPTIONS;PAIEMENT EN LIGNE; CODE; ENGAGEMENTS; INSTALLATIONS;Téléphone; Catégorie; Epreuve; Classement; Droits
TC LES LILAS; tournoi Noel; 20/12/2025; 04/01/2026; Pierre BODU; Résine;800 € ;150 € ; Oui;Oui; T 20265793041800161558; pierre.bodu@lve.fr;93260_LES LILAS &ESPACE DE L AVENIR &3 Boulevard Jean Jaurès &93260 LES LILAS; 01 48 44 51 76; Senior ;Simple Dames; Open;22 € 
TC LES LILAS; tournoi Noel; 20/12/2025; 04/01/2026; Pierre BODU; Résine;800 € ;150 € ; Oui;Oui; T 20265793041800161558; pierre.bodu@lve.fr;93260_LES LILAS &ESPACE DE L AVENIR &3 Boulevard Jean Jaurès &93260 LES LILAS; 01 48 44 51 76;Senior;Simple Messieurs; Open;22 € 
TENNIS CLUB PARISIEN DE JOINVILLE;Tournoi Open Vacances Février TCPJ;20/04/2026;03/05/2026;Bruno HEBERT hebert.b@orange.fr Senior Simple Dames Open 28€ (Jeunes 25€);Terre battue traditionnelle Senior Simple Messieurs Open 28€ (Jeunes 25€);0 € ;160 € ;Oui;Non;T 20265775012500187929;hebert.b@orange.fr;75012_PARIS 15/16 Simple Messieurs Open 25€;01 43 28 73 60;13/14;Simple Messieurs;Open;25 € 
TENNIS CLUB PARISIEN DE JOINVILLE;Tournoi Open Vacances Février TCPJ;20/04/2026;03/05/2026;Bruno HEBERT hebert.b@orange.fr Senior Simple Dames Open 28€ (Jeunes 25€);Terre battue traditionnelle Senior Simple Messieurs Open 28€ (Jeunes 25€);0 € ;160 € ;Oui;Non;T 20265775012500187929;hebert.b@orange.fr;75012_PARIS 15/16 Simple Messieurs Open 25€;01 43 28 73 60;15/16;Simple Messieurs;Open;25 € 
TENNIS CLUB PARISIEN DE JOINVILLE;Tournoi Open Vacances Février TCPJ;20/04/2026;03/05/2026;Bruno HEBERT hebert.b@orange.fr Senior Simple Dames Open 28€ (Jeunes 25€);Terre battue traditionnelle Senior Simple Messieurs Open 28€ (Jeunes 25€);0 € ;160 € ;Oui;Non;T 20265775012500187929;hebert.b@orange.fr;75012_PARIS & T.C.P.JOINVILLE & Route de la Pyramide & 75012 PARIS 12;01 43 28 73 60;17/18;Simple Messieurs;Open;25 € 
TENNIS CLUB PARISIEN DE JOINVILLE;Tournoi Open Vacances Février TCPJ;20/04/2026;03/05/2026;Bruno HEBERT hebert.b@orange.fr Senior Simple Dames Open 28€ (Jeunes 25€);Terre battue traditionnelle Senior Simple Messieurs Open 28€ (Jeunes 25€);0 € ;160 € ;Oui;Non;T 20265775012500187929;hebert.b@orange.fr;75012_PARIS 15/16 Simple Messieurs Open 25€;01 43 28 73 60;13/14;Simple Dames;Open;28 € 
TENNIS CLUB PARISIEN DE JOINVILLE;Tournoi Open Vacances Février TCPJ;20/04/2026;03/05/2026;Bruno HEBERT hebert.b@orange.fr Senior Simple Dames Open 28€ (Jeunes 25€);Terre battue traditionnelle Senior Simple Messieurs Open 28€ (Jeunes 25€);0 € ;160 € ;Oui;Non;T 20265775012500187929;hebert.b@orange.fr;75012_PARIS & T.C.P.JOINVILLE & Route de la Pyramide & 75012 PARIS 12;01 43 28 73 60;15/16;Simple Dames;Open;25 € 
TENNIS CLUB PARISIEN DE JOINVILLE;Tournoi Open Vacances Février TCPJ;20/04/2026;03/05/2026;Bruno HEBERT hebert.b@orange.fr Senior Simple Dames Open 28€ (Jeunes 25€);Terre battue traditionnelle Senior Simple Messieurs Open 28€ (Jeunes 25€);0 € ;160 € ;Oui;Non;T 20265775012500187929;hebert.b@orange.fr;75012_PARIS 15/16 Simple Messieurs Open 25€;01 43 28 73 60;17/18;Simple Dames;Open;28 € 
TENNIS CLUB PARISIEN DE JOINVILLE;Tournoi Open Vacances Février TCPJ;20/04/2026;03/05/2026;Bruno HEBERT hebert.b@orange.fr Senior Simple Dames Open 28€ (Jeunes 25€);Terre battue traditionnelle Senior Simple Messieurs Open 28€ (Jeunes 25€);0 € ;160 € ;Oui;Non;T 20265775012500187929;hebert.b@orange.fr;75012_PARIS 15/16 Simple Messieurs Open 25€;01 43 28 73 60;Senior;Simple Messieurs;Open;28 € 
TENNIS CLUB PARISIEN DE JOINVILLE;Tournoi Open Vacances Février TCPJ;20/04/2026;03/05/2026;Bruno HEBERT hebert.b@orange.fr Senior Simple Dames Open 28€ (Jeunes 25€);Terre battue traditionnelle Senior Simple Messieurs Open 28€ (Jeunes 25€);0 € ;160 € ;Oui;Non;T 20265775012500187929;hebert.b@orange.fr;75012_PARIS 15/16 Simple Messieurs Open 25€;01 43 28 73 60;Senior;Simple Dames;Open;28 € 
